,Date,Visit Number,Product,Visitor_ID,CSource,State,Day,Month,Year,State Code
67,"January 1, 2018",1,unknown,6007757409804860155_1784452472275852884,unknown,nevada ,January,1,2018,51
68,"January 1, 2018",1,unknown,6185258750239917059_576709243973700209,unknown,delaware ,January,1,2018,51
69,"January 1, 2018",1,unknown,6186629376181294473_5801165497241590082,unknown,florida ,January,1,2018,51
70,"January 1, 2018",1,unknown,6449884758628478363_8570795267489951812,unknown,texas ,January,1,2018,51
71,"January 1, 2018",1,unknown,6567447966014672105_2907164572463382983,unknown,virginia ,January,1,2018,51
72,"January 1, 2018",1,unknown,6612801250187088736_3079586975831246494,unknown,illinois ,January,1,2018,51
73,"January 1, 2018",1,unknown,6665147297869852817_6107173472258028540,unknown,colorado ,January,1,2018,51
74,"January 1, 2018",1,unknown,6667467223259378778_666867177445044718,unknown,new york ,January,1,2018,51
75,"January 1, 2018",1,unknown,6779272980435580960_6716917349339095313,unknown,illinois ,January,1,2018,51
76,"January 1, 2018",1,unknown,7053798588359899792_8403115936795908152,unknown,pennsylvania ,January,1,2018,51
77,"January 1, 2018",1,unknown,7134494703102816429_7497057548747015466,unknown,texas ,January,1,2018,51
78,"January 1, 2018",1,unknown,7198992635107468669_9011486494094643845,unknown,maryland ,January,1,2018,51
79,"January 1, 2018",1,unknown,7213046456589863550_4209270332469605488,unknown,north carolina ,January,1,2018,51
80,"January 1, 2018",1,unknown,7481215841366565857_4903909484033073723,unknown,georgia ,January,1,2018,51
81,"January 1, 2018",1,unknown,7511593550568568451_287179031299205157,unknown,georgia ,January,1,2018,51
82,"January 1, 2018",1,unknown,7695947444343287736_5839400244047093361,unknown,texas ,January,1,2018,51
83,"January 1, 2018",1,unknown,7802327019113215412_2375635591240621246,unknown,connecticut ,January,1,2018,51
84,"January 1, 2018",1,unknown,7867615412557989933_2229646853217937786,unknown,michigan ,January,1,2018,51
85,"January 1, 2018",1,unknown,8042443177575234670_3015777411171724213,unknown,idaho ,January,1,2018,51
86,"January 1, 2018",1,unknown,8073103162182820520_3965318682094650410,unknown,california ,January,1,2018,51
87,"January 1, 2018",1,unknown,8080385646956250870_6637621103888906840,unknown,texas ,January,1,2018,51
88,"January 1, 2018",1,unknown,8089610868803279995_1785860808982083812,unknown,virginia ,January,1,2018,51
89,"January 1, 2018",1,unknown,8105784557320919091_8196413462308499750,unknown,virginia ,January,1,2018,51
90,"January 1, 2018",1,unknown,8177604505971081035_2677416894419760109,unknown,illinois ,January,1,2018,51
91,"January 1, 2018",1,unknown,8386898831493208696_4537118129623684359,unknown,california ,January,1,2018,51
92,"January 1, 2018",1,unknown,8528480868102654248_8447102539750397123,unknown,california ,January,1,2018,51
93,"January 1, 2018",1,unknown,8720338879669905852_3056086667952157879,unknown,illinois ,January,1,2018,51
94,"January 1, 2018",1,unknown,8736609034914317246_8425311543256160621,unknown,kansas ,January,1,2018,51
95,"January 1, 2018",1,unknown,877972207703715772_5226998635028420035,unknown,kansas ,January,1,2018,51
96,"January 1, 2018",1,unknown,887855725622149874_5995817709007309545,unknown,georgia ,January,1,2018,51
97,"January 1, 2018",1,unknown,9085581902214029909_866441623362175759,unknown,illinois ,January,1,2018,51
98,"January 1, 2018",1,unknown,921390663669168574_2381886225906206378,unknown,alabama ,January,1,2018,51
99,"January 1, 2018",1,unknown,96332467710587401_2843600227975165659,unknown,new jersey ,January,1,2018,51
100,"January 1, 2018",1,Personal,1113033089_2274431552,unknown,new york ,January,1,2018,51
101,"January 1, 2018",1,Personal,1551959218686120072_3568123856514376605,unknown,california ,January,1,2018,51
102,"January 1, 2018",1,Personal,2544368930651048418_130551950503170906,unknown,texas ,January,1,2018,51
103,"January 1, 2018",1,Personal,3253123661615840141_4611687200617171611,unknown,maine ,January,1,2018,51
104,"January 1, 2018",1,Personal,467681154369313321_5790833603157192896,unknown,california ,January,1,2018,51
105,"January 1, 2018",1,Personal,544872603192524772_4589674226370768130,unknown,georgia ,January,1,2018,51
106,"January 1, 2018",1,Personal,8665231938730452595_3266046849043955116,unknown,arkansas ,January,1,2018,51
107,"January 1, 2018",1,Purchase,1231728024_2140199949,unknown,georgia ,January,1,2018,51
108,"January 1, 2018",2,unknown,1987708906768717764_1840172218074650414,unknown,wisconsin ,January,1,2018,51
109,"January 1, 2018",2,unknown,4975057251021247136_8381228594779645394,unknown,indiana ,January,1,2018,51
110,"January 1, 2018",2,unknown,5816618920687746599_2958338312440309329,unknown,texas ,January,1,2018,51
111,"January 1, 2018",2,unknown,7614167239299134206_2436334494349834633,unknown,illinois ,January,1,2018,51
112,"January 1, 2018",2,unknown,7883622636923501516_1809533540216436107,unknown,california ,January,1,2018,51
113,"January 1, 2018",2,unknown,8636673312306935404_2079632349672823611,unknown,pennsylvania ,January,1,2018,51
114,"January 1, 2018",2,unknown,8858276324295005566_3524617631436805349,unknown,arizona ,January,1,2018,51
115,"January 1, 2018",3,unknown,3525953113392824590_2297329940291527642,unknown,pennsylvania ,January,1,2018,51
116,"January 1, 2018",3,unknown,4757683379960173703_1512564512926132204,unknown,texas ,January,1,2018,51
117,"January 1, 2018",3,unknown,7022542983782428530_1338367201954626716,unknown,georgia ,January,1,2018,51
118,"January 1, 2018",4,unknown,3668771783902623036_7781472164770330314,unknown,maryland ,January,1,2018,51
